Id,ProvinceCode,ProvinceName,ProvinceJC
1,110000,北京,BJ
2,120000,天津,TJ
3,130000,河北,HB
4,140000,山西,SX
5,150000,内蒙古,NMG
6,210000,辽宁,LN
7,220000,吉林,JL
8,230000,黑龙江,HLJ
9,310000,上海,SH
10,320000,江苏,JS
11,330000,浙江,ZJ
12,340000,安徽,AH
13,350000,福建,FJ
14,360000,江西,JX
15,370000,山东,SD
16,410000,河南,HN
17,420000,湖北,HB
18,430000,湖南,HN
19,440000,广东,GD
20,450000,广西,GX
21,460000,海南,HN
22,500000,重庆,ZQ
23,510000,四川,SC
24,520000,贵州,GZ
25,530000,云南,YN
26,540000,西藏,XC
27,610000,陕西,SX
28,620000,甘肃,GS
29,630000,青海,QH
30,640000,宁夏,NX
31,650000,新疆,XJ
32,710000,台湾,TW
33,810000,香港,XG
34,820000,澳门,AM
